nome;frequencia;no_casos
PRATA;23;1
SÂ¦;23;1
VICENCIA;23;1
VICTORINO;23;1
ALBANO;22;1
ALOISIO;22;1
ALVARO;22;1
AMOR;22;1
BETANIA;22;1
BOMFIM;22;1
BRITTO;22;1
CARLO;22;1
CARLOTA;22;1
CINTRA;22;1
CIRIACO;22;1
DALL;22;1
DEMETRIO;22;1
DIVA;22;1
ELIZABETE;22;1
ESPINDOLA;22;1
EVERALDO;22;1
FELIZARDO;22;1
FERRO;22;1
GERTRUDES;22;1
ISAURA;22;1
JACINTHO;22;1
JANUARIA;22;1
JONAS;22;1
JOSEFINA;22;1
LAERCIO;22;1
LETICIA;22;1
LUCINDO;22;1
MULLER;22;1
NATALINA;22;1
NAZARENO;22;1
NICACIO;22;1
OTILIA;22;1
PANTOJA;22;1
PARREIRA;22;1
PEQUENO;22;1
PESTANA;22;1
ROLIM;22;1
SEABRA;22;1
SOBREIRA;22;1
TEOTONIO;22;1
VALDEMAR;22;1
VALMIR;22;1
VANDA;22;1
ALDO;21;1
AMADO;21;1
ANDREIA;21;1
APDA;21;1
AZEREDO;21;1
BELEM;21;1
BENITES;21;1
BOAS;21;1
CÂ¦NDIDA;21;1
CRESPO;21;1
CRISOSTOMO;21;1
DAMASIO;21;1
EDISON;21;1
EDITE;21;1
EVALDO;21;1
FRUTUOSO;21;1
HEITOR;21;1
ISMAEL;21;1
JAIR;21;1
JAQUES;21;1
JULIANO;21;1
LAGO;21;1
LUCIENE;21;1
MADUREIRA;21;1
MOURAO;21;1
NAVES;21;1
NOLASCO;21;1
NORONHA;21;1
PARANHOS;21;1
PRUDENTE;21;1
RAFAELA;21;1
RAMIRES;21;1
ROMILDO;21;1
ROSARIA;21;1
ROZENDO;21;1
SIDNEY;21;1
SILVANA;21;1
THOME;21;1
ULISSES;21;1
VALDEVINO;21;1
VARELA;21;1
ALEXANDRA;20;1
APARICIO;20;1
CAMILLO;20;1
CILENE;20;1
CLEMENTINA;20;1
CORTEZ;20;1
